# id|name|longitude|latitude|region|grade|source
# Grade C = coverage only. Never use these rows for signal-state/countdown estimation.
# Data: © OpenStreetMap contributors, ODbL 1.0; snapshot 2026-09-20.
C-NTPC-OSM-2171049860|田尾街　柑園街一段|121.4060755|24.9617849|NTPC|C|OSM
C-NTPC-OSM-1223597668|北新路一段　前方號誌|121.5391350|24.9618324|NTPC|C|OSM
C-NTPC-OSM-2084452671|中山路　民權街|121.4163390|24.9619321|NTPC|C|OSM
C-NTPC-OSM-2176853648|安德街　安德街60巷|121.5106673|24.9619774|NTPC|C|OSM
C-NTPC-OSM-1223954298|安康路一段　莒光路|121.5279527|24.9619865|NTPC|C|OSM
C-NTPC-OSM-2924798412|中正一路　114舊線|121.3768887|24.9622418|NTPC|C|OSM
C-NTPC-OSM-282284355|安德街　安康路二段|121.5127836|24.9625020|NTPC|C|OSM
C-NTPC-OSM-2679762083|大同街　民族路|121.4193315|24.9625552|NTPC|C|OSM
C-NTPC-OSM-2924798408|中正一路　114舊線|121.3775639|24.9626995|NTPC|C|OSM
C-NTPC-OSM-1604619425|中央路四段　中興路|121.4253882|24.9627468|NTPC|C|OSM
C-NTPC-OSM-7858894680|安一路一段　迴轉道|121.5197562|24.9627971|NTPC|C|OSM
C-NTPC-OSM-1012989655|三民路　中山路|121.4207819|24.9628560|NTPC|C|OSM
C-NTPC-OSM-4425594091|鶯桃路　鶯桃路365巷|121.3337973|24.9629266|NTPC|C|OSM
C-NTPC-OSM-2085383347|佳園路二段　西圳街一段|121.3916877|24.9629360|NTPC|C|OSM
C-NTPC-OSM-2177297009|安康路二段85巷　安康路二段|121.5134297|24.9629393|NTPC|C|OSM
C-NTPC-OSM-4022186876|安康路一段　安康路一段207巷|121.5261957|24.9629550|NTPC|C|OSM
C-NTPC-OSM-1298263881|中山路　金安街|121.4222819|24.9631361|NTPC|C|OSM
C-NTPC-OSM-4875107298|福安街　鶯桃路|121.3336198|24.9635317|NTPC|C|OSM
C-NTPC-OSM-1224128129|中興路一段　檳榔路|121.5421009|24.9635321|NTPC|C|OSM
C-NTPC-OSM-2766164197|中央路三段281巷　中央路三段|121.4266463|24.9635412|NTPC|C|OSM
C-NTPC-OSM-1223954093|安康路一段　安康路一段281巷|121.5235649|24.9635588|NTPC|C|OSM
C-NTPC-OSM-1470557480|安康路二段　安忠路|121.5146387|24.9635645|NTPC|C|OSM
C-NTPC-OSM-1013017322|中興路　中山路|121.4245628|24.9636338|NTPC|C|OSM
C-NTPC-OSM-1470557482|安康路二段　安民街|121.5152524|24.9637184|NTPC|C|OSM
C-NTPC-OSM-2084452736|永平街　中央路三段|121.4271669|24.9638712|NTPC|C|OSM
C-NTPC-OSM-282284350|安康路一段　安捷路|121.5169303|24.9638843|NTPC|C|OSM
C-NTPC-OSM-1872792634|祥和路　柴埕路|121.5111239|24.9639192|NTPC|C|OSM
C-NTPC-OSM-1223577422|安康路一段　安一路一段|121.5198025|24.9639508|NTPC|C|OSM
C-NTPC-OSM-1873990137|安光路　安民街3巷|121.5136550|24.9639694|NTPC|C|OSM
C-NTPC-OSM-510849899|環河路　前方號誌|121.5369001|24.9642190|NTPC|C|OSM
C-NTPC-OSM-1224128143|力行路　北新路一段|121.5403491|24.9645537|NTPC|C|OSM
C-NTPC-OSM-4246880297|擺接堡路　前方號誌|121.4158182|24.9646317|NTPC|C|OSM
C-NTPC-OSM-2688105725|鳳鳴路　鶯桃路|121.3328691|24.9646625|NTPC|C|OSM
C-NTPC-OSM-1604619437|中央路三段　永寧路|121.4306539|24.9649686|NTPC|C|OSM
C-NTPC-OSM-1872792648|祥和路　安光路|121.5136240|24.9649733|NTPC|C|OSM
C-NTPC-OSM-1223963193|北新路一段　檳榔路|121.5406160|24.9653445|NTPC|C|OSM
C-NTPC-OSM-325811095|中山路三段　中正一路|121.3815662|24.9654542|NTPC|C|OSM
C-NTPC-OSM-1216103718|中央路三段　土城交流道|121.4325312|24.9654648|NTPC|C|OSM
C-NTPC-OSM-11845405771|安和路一段　吉安街|121.5173169|24.9655631|NTPC|C|OSM
C-NTPC-OSM-1223957405|中興路一段　新坡一街|121.5437406|24.9656167|NTPC|C|OSM
C-NTPC-OSM-9275198521|鶯桃路　鶯桃路455巷|121.3322322|24.9656194|NTPC|C|OSM
C-NTPC-OSM-1749811591|承天路　前方號誌|121.4363147|24.9657577|NTPC|C|OSM
C-NTPC-OSM-1408650690|中央路三段　承和街|121.4349038|24.9658118|NTPC|C|OSM
C-NTPC-OSM-412087076|中山路　成功街|121.4274501|24.9658963|NTPC|C|OSM
